jugador1_0,jugador2_0
jugador1_1,jugador2_1
jugador1_2,jugador2_2
jugador1_3,jugador2_3
jugador1_4,jugador2_4
jugador1_5,jugador2_5
jugador1_6,jugador2_6
jugador1_7,jugador2_7
jugador1_8,jugador2_8
jugador1_9,jugador2_9
jugador1_10,jugador2_10
jugador1_11,jugador2_11
jugador1_12,jugador2_12
jugador1_13,jugador2_13
jugador1_14,jugador2_14
jugador1_15,jugador2_15
jugador1_16,jugador2_16
jugador1_17,jugador2_17
jugador1_18,jugador2_18
jugador1_19,jugador2_19
jugador1_20,jugador2_20
jugador1_21,jugador2_21
jugador1_22,jugador2_22
jugador1_23,jugador2_23
jugador1_24,jugador2_24
jugador1_25,jugador2_25
jugador1_26,jugador2_26
jugador1_27,jugador2_27
jugador1_28,jugador2_28
jugador1_29,jugador2_29
